id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
13,658.1205408573151,prey,122.39112591743469,False,27,False
14,676.2071387767792,pred,120.40205597877502,True,8,False
16,700.2889499664307,pred,519.7171850204468,True,24,True
17,726.3844358921051,pred,152.5252149105072,False,16,False
12,750.4457848072052,prey,389.2613730430603,True,22,True
24,752.4571218490601,pred,752.5369460582733,True,1,False
20,780.5226719379425,pred,204.66255617141724,False,24,True
4,810.6333937644958,pred,202.65566396713257,False,2,False
23,842.7451889514923,pred,842.8367321491241,True,1,False
28,854.7791428565979,prey,200.66926097869873,True,2,False
0,874.8260509967804,prey,680.213632106781,True,29,False
19,874.8260509967804,pred,258.8136761188507,False,23,False
21,876.8364779949188,prey,150.45204210281372,False,27,False
14,892.8936638832092,prey,216.68082904815674,False,12,False
18,902.9186317920685,prey,226.7114930152893,False,12,False
15,902.9186317920685,pred,278.8905429840088,False,2,False
8,904.9241588115692,prey,228.71702003479004,False,12,False
13,929.0088379383087,pred,270.8803131580353,True,27,False
7,945.0552129745483,prey,547.7518980503082,True,8,False
26,945.0552129745483,prey,682.1900260448456,False,8,False
22,953.0942068099976,pred,393.2758128643036,True,27,False
2,979.172168970108,pred,511.64552903175354,False,23,False
28,1007.2645819187164,pred,152.4773600101471,False,2,False
0,1037.3394157886505,pred,162.50496292114258,False,29,False
14,1069.4419808387756,pred,176.54001998901367,True,12,False
6,1077.4606258869171,prey,351.076189994812,True,21,False
17,1081.4688379764557,prey,355.07866621017456,False,21,False
16,1091.515086889267,prey,365.13065099716187,False,21,False
29,1097.5363199710846,pred,441.4220881462097,False,27,False
18,1127.652839899063,pred,224.72628903388977,False,12,False
19,1135.678142786026,prey,128.41356086730957,False,7,False
12,1157.7307407855988,pred,407.2767469882965,False,22,False
10,1159.7364118099213,prey,152.47182989120483,True,19,False
8,1187.8236758708954,pred,282.8912470340729,False,12,False
20,1195.8509187698364,prey,270.86452293395996,False,27,False
0,1209.8979449272156,prey,140.45596408843994,False,16,False
6,1215.9149518013,pred,138.44617700576782,True,21,False
7,1245.9998347759247,pred,300.93644881248474,False,8,False
24,1254.027281999588,prey,66.20360612869263,True,17,False
21,1276.0788938999176,pred,399.2327001094818,False,27,False
11,1292.1261959075928,prey,696.1956551074982,True,26,False
27,1306.1723878383636,pred,774.4536068439484,False,1,False
20,1338.268483877182,pred,142.40959000587463,True,27,False
3,1368.3804948329926,prey,1248.007968902588,True,26,False
4,1370.3819568157196,prey,363.1173748970032,False,26,False
10,1370.3819568157196,pred,210.63698291778564,False,19,False
7,1374.3931879997253,prey,128.38782715797424,False,19,False
28,1382.4231507778168,prey,136.4233160018921,True,19,False
24,1398.4685518741608,pred,144.43325090408325,True,17,False
10,1422.5429499149323,prey,52.146554946899414,False,17,False
11,1426.551600933075,pred,134.41722416877747,False,26,False
3,1456.6264967918396,pred,88.23784589767456,False,26,False
26,1488.7167308330536,pred,543.6440000534058,False,8,False
23,1498.7457239627838,prey,242.71796417236328,False,16,False
15,1508.7726669311523,prey,186.542582988739,False,7,False
4,1518.795735836029,pred,148.40559792518616,False,26,False
2,1524.8265459537506,prey,202.59646201133728,False,19,False
10,1548.8921139240265,pred,126.34051299095154,False,17,False
0,1581.0142698287964,pred,371.107843875885,False,16,False
6,1599.0693819522858,prey,202.6015341281891,True,17,False
17,1613.1206488609314,pred,531.6433770656586,False,21,False
3,1623.1571698188782,prey,104.36143398284912,False,7,False
6,1645.2211108207703,pred,46.1434268951416,False,17,True
12,1659.2669389247894,prey,355.094820022583,False,28,False
11,1667.3107018470764,prey,148.51496601104736,True,19,False
23,1675.3304059505463,pred,176.57666516304016,True,16,False
15,1707.4302558898926,pred,198.64914298057556,True,7,False
13,1715.4575259685516,prey,786.4430320262909,False,16,False
5,1719.476343870163,prey,200.6806080341339,True,7,False
17,1733.5188558101654,prey,88.29774498939514,True,2,False
28,1735.5276069641113,pred,353.09614419937134,False,19,False
10,1749.5614068508148,prey,104.34029603004456,True,2,False
12,1763.6019909381866,pred,104.32658815383911,True,28,False
6,1789.6789739131927,prey,144.45234298706055,True,19,False
3,1791.682695865631,pred,168.51700401306152,False,7,False
11,1821.7794198989868,pred,154.46021103858948,False,19,False
16,1853.8847229480743,pred,762.3611531257629,False,21,False
23,1886.0023868083954,prey,122.40039587020874,False,6,False
13,1886.0023868083954,pred,170.53641486167908,False,16,True
24,1894.0225307941437,prey,495.54839396476746,False,2,False
5,1918.0954909324646,pred,198.61077308654785,False,7,False
17,1952.2286098003387,pred,218.70149302482605,True,2,False
13,1952.2286098003387,prey,0.0,False,16,True
10,1986.3136188983917,pred,236.74406099319458,False,2,False
22,1986.3136188983917,prey,587.845067024231,False,27,False
20,2006.3583798408508,prey,607.8898279666901,False,22,True
27,2008.3678328990936,prey,609.8992810249329,False,22,True
1,2010.3759899139404,prey,1003.111407995224,False,22,True
19,2014.3840267658234,pred,878.697536945343,False,7,False
6,2044.465970993042,pred,254.77880311012268,False,19,True
11,2064.530967950821,prey,72.19766998291016,False,23,False
2,2074.562325000763,pred,549.7276592254639,False,19,True
24,2106.6756229400635,pred,212.64465808868408,True,2,True
29,2110.684578895569,prey,712.2160270214081,True,20,False
13,2138.7734928131104,pred,186.53300404548645,False,16,True
27,2172.896206855774,pred,164.51996088027954,False,22,True
12,2172.896206855774,prey,146.48365592956543,True,28,False
7,2206.983771800995,pred,832.5822420120239,False,19,True
21,2206.983771800995,prey,782.4338858127594,False,27,False
22,2241.1015429496765,pred,254.77623796463013,True,27,False
7,2241.1015429496765,prey,34.11220717430115,False,19,True
1,2275.2030148506165,pred,264.8189618587494,False,22,False
24,2275.2030148506165,prey,136.4295220375061,False,2,True
23,2309.3124799728394,pred,423.3015470504761,False,6,False
13,2309.3124799728394,prey,86.2741391658783,False,16,True
6,2335.411549806595,prey,210.68717503547668,False,24,False
11,2341.416137933731,pred,276.8769381046295,False,23,True
20,2375.5453169345856,pred,369.17853808403015,False,22,False
18,2375.5453169345856,prey,1107.4821050167084,False,12,True
14,2395.585424900055,prey,1093.4227089881897,False,18,False
25,2395.585424900055,prey,2166.8340480327606,True,18,False
4,2399.6007969379425,prey,698.1865229606628,False,18,False
24,2403.605323791504,pred,128.39041090011597,False,2,True
26,2407.623527765274,prey,888.827791929245,False,18,False
17,2415.6528267860413,prey,421.31827688217163,False,25,False
29,2429.6950018405914,pred,319.0020680427551,True,20,False
6,2457.776307821274,pred,122.35646390914917,False,24,True
8,2463.808044910431,prey,1275.9788320064545,False,21,True
12,2485.8794977664948,pred,312.97030687332153,True,28,False
29,2495.923066854477,prey,62.22321796417236,False,13,False
7,2513.9822459220886,pred,272.8689069747925,True,19,True
0,2530.0222539901733,prey,154.47693705558777,False,13,False
14,2542.0579738616943,pred,146.4644010066986,False,18,False
16,2554.0974609851837,prey,547.7390811443329,True,29,False
4,2570.131327867508,pred,170.52233290672302,False,18,False
28,2584.1809108257294,prey,208.6355938911438,False,13,False
20,2598.226062774658,prey,222.67513990402222,False,13,False
26,2598.226062774658,pred,190.59427785873413,False,18,False
15,2618.2833309173584,prey,519.62961602211,True,29,False
22,2618.2833309173584,prey,242.73801398277283,False,20,False
6,2622.2959117889404,prey,160.49310183525085,False,20,False
25,2622.2959117889404,pred,226.69329380989075,False,18,False
9,2624.3019638061523,prey,260.7970178127289,False,8,False
18,2644.347133874893,pred,268.78999495506287,False,12,False
17,2668.412097930908,pred,252.75086998939514,True,25,False
5,2670.4131968021393,prey,587.8294839859009,True,16,False
10,2692.6934349536896,prey,582.0088560581207,False,5,False
21,2692.6934349536896,pred,485.69796204566956,True,27,False
0,2716.777549982071,pred,186.7467920780182,True,13,False
28,2742.883736848831,pred,158.69445991516113,True,13,False
23,2764.9662668704987,prey,279.0867691040039,True,15,True
13,2768.978803873062,pred,459.6545948982239,False,16,False
25,2770.9841289520264,prey,148.6735291481018,False,8,False
1,2793.040693998337,prey,417.4953770637512,False,10,False
29,2793.040693998337,pred,297.1091911792755,False,13,False
22,2819.127842903137,pred,200.8275649547577,False,20,False
2,2831.176358938217,prey,746.5790050029755,True,15,True
9,2845.2418518066406,pred,220.93180084228516,True,8,False
24,2863.3122148513794,prey,377.43271708488464,True,2,False
16,2871.325544834137,pred,317.2182619571686,False,29,True
21,2885.3633728027344,prey,40.12152099609375,False,25,False
5,2897.406142950058,pred,226.98434615135193,False,16,True
8,2925.4606218338013,pred,461.6440579891205,False,21,False
3,2937.5061638355255,prey,451.62666606903076,True,21,False
28,2937.5061638355255,prey,160.5055959224701,False,10,False
20,2951.5327908992767,pred,353.29876708984375,False,13,False
19,2979.6169998645782,prey,493.7375020980835,True,24,False
6,2979.6169998645782,pred,357.31269001960754,False,20,False
12,2983.6293778419495,prey,497.74416399002075,False,24,False
2,3005.715582847595,pred,174.5308780670166,False,15,True
11,3021.7517969608307,prey,535.8722991943359,True,23,True
15,3031.7798998355865,pred,413.4886920452118,True,29,True
26,3041.7996089458466,prey,250.75932717323303,False,25,False
18,3053.835779905319,prey,212.6120319366455,True,25,False
21,3055.8370809555054,pred,170.46544408798218,False,25,False
0,3077.9232518672943,prey,108.3301420211792,True,1,False
3,3079.9282689094543,pred,142.4130311012268,False,21,False
27,3093.967432975769,prey,870.929092168808,False,18,True
16,3099.9913988113403,prey,148.4586079120636,True,0,True
10,3101.9995238780975,pred,409.29794788360596,False,5,False
29,3110.0347139835358,prey,184.5740921497345,True,24,False
28,3124.075255870819,pred,186.55059504508972,False,10,True
