id,simTime,position,angle,predprey,tag,otherID
34,4.012915849685669,[ 4.97507109 -6.29591407  0.07615916],-0.8286321479542593,pred,-1,23
35,4.012915849685669,[0.01055756 0.05856781 0.07736391],-0.8387781013613345,pred,1,26
36,4.012915849685669,[ 5.13194533 -3.93866775  0.07721798],-0.8501299196561236,pred,-1,34
37,4.012915849685669,[2.63258254 3.66469924 0.07548128],-0.8330068542466327,pred,-1,32
38,4.012915849685669,[-1.54375038  4.39896873  0.07694107],-0.7883510018485196,pred,-1,39
39,4.012915849685669,[-1.34550114  2.3429746   0.07550923],-0.9940205248435552,pred,1,26
0,6.022046804428101,[-7.27698075  1.38651172  0.03072011],-1.0760782217110396,prey,-1,24
1,6.022046804428101,[-6.73524889 -5.54266952  0.03048297],-1.1906413295091554,prey,-1,25
2,6.022046804428101,[-7.07619579  3.97569189  0.03007597],-1.1106940500736013,prey,-1,24
3,6.022046804428101,[-5.01751231 -8.15811093  0.03005294],-1.1302597382341526,prey,-1,29
4,6.022046804428101,[-5.59945364 -1.55487785  0.0296838 ],-1.1365548640856056,prey,-1,25
5,6.022046804428101,[2.45153016 7.13403631 0.02985364],-1.1651800049676542,prey,1,21
6,6.022046804428101,[-5.30347332  8.62116942  0.02985069],-1.1299449994572015,prey,1,38
7,6.022046804428101,[8.07298262 6.61510278 0.02972799],-1.1415196526918434,prey,-1,31
8,6.022046804428101,[-5.64383709 -7.33544379  0.02943855],-1.1470828468069065,prey,1,29
9,6.022046804428101,[ 8.29319754 -1.71413821  0.0299074 ],-1.1272610601511333,prey,1,36
10,6.022046804428101,[-6.56611489  7.29320815  0.02919479],-1.320575051253039,prey,-1,38
11,6.022046804428101,[-6.59571708  6.82736112  0.02998402],-1.3839733021080103,prey,1,24
12,6.022046804428101,[ 4.61628985 -7.90813714  0.0297472 ],-1.135384825995069,prey,1,23
13,6.022046804428101,[8.44935172 7.88025544 0.03013389],-1.1612569278015534,prey,-1,31
14,6.022046804428101,[6.7143343  6.70554601 0.03029578],-1.1510747638990584,prey,-1,31
15,6.022046804428101,[-1.87331204  0.18478976  0.02951754],-1.1502338250175799,prey,-1,35
16,6.022046804428101,[ 4.05695019 -4.87764708  0.02982718],-1.1418671394555866,prey,-1,36
17,6.022046804428101,[-4.43516349 -1.86852212  0.02971491],-1.386007611822668,prey,1,25
18,6.022046804428101,[7.44637563 5.22569282 0.02969108],-1.1473576967405357,prey,-1,31
19,6.022046804428101,[-4.37952066 -1.49065275  0.02970465],-1.4338141424420425,prey,-1,25
20,6.022046804428101,[ 0.66216196 -5.72315294  0.03001002],-1.1615919210309285,prey,-1,29
21,6.022046804428101,[2.96276145 6.15923674 0.03494172],-0.6856976314455538,pred,1,30
22,6.022046804428101,[6.31812855 2.63444297 0.02994483],-1.1319599220645875,pred,-1,33
23,6.022046804428101,[ 3.61001335 -7.16036184  0.02954456],-1.141815684271679,pred,1,34
24,6.022046804428101,[-8.08145051  1.59602323  0.02955814],-1.153713421524448,pred,-1,25
25,6.022046804428101,[-6.34056909 -0.80649849  0.03014164],-1.1416384714998364,pred,1,24
26,6.022046804428101,[0.65292021 1.87602158 0.02940706],-1.1037363405140974,pred,-1,35
27,6.022046804428101,[ 6.43547138 -8.72088515  0.02989744],-1.1273729411166888,pred,1,34
28,6.022046804428101,[8.86904607 3.31934458 0.02992107],-1.1367614131916688,pred,1,22
29,6.022046804428101,[-0.93235383 -6.94660393  0.02966112],-1.0963180361799112,pred,1,23
30,6.022046804428101,[2.88740861 6.08421254 0.09988496],-0.7557110099246507,pred,-1,21
31,6.022046804428101,[7.71518988 5.97050647 0.02981823],-1.1480970257192125,pred,1,28
32,6.022046804428101,[1.47940691 5.501622   0.02944973],-1.09108951333074,pred,1,30
33,6.022046804428101,[5.0569427  4.19282986 0.02996573],-0.8534430203571763,pred,1,22
34,6.022046804428101,[ 4.96060312 -6.34284128  0.02964491],-1.1305854035464677,pred,-1,23
35,6.022046804428101,[0.00037343 0.01179192 0.03010623],-1.1038917055118254,pred,1,26
36,6.022046804428101,[ 5.12568094 -3.98555424  0.02985696],-1.1342012450651278,pred,-1,34
37,6.022046804428101,[2.62331174 3.61854351 0.02967734],-1.13505885283189,pred,-1,32
38,6.022046804428101,[-1.564753    4.3564742   0.02997443],-1.1045241356256215,pred,-1,39
39,6.022046804428101,[-1.35330561  2.29559636  0.03012827],-1.2803771068678258,pred,1,26
0,8.038371801376343,[-7.25545968  1.30446895  0.070252  ],-0.6996276623787931,prey,-1,24
1,8.038371801376343,[-6.71352506 -5.62175087  0.07045537],-0.7882575008344124,prey,-1,25
2,8.038371801376343,[-7.05862541  3.8974227   0.06961551],-0.7199140352140816,prey,-1,24
3,8.038371801376343,[-4.99990432 -8.23691416  0.07006123],-0.745530656795443,prey,-1,29
4,8.038371801376343,[-5.58013187 -1.63574761  0.07054161],-0.7340756035610632,prey,-1,25
5,8.038371801376343,[2.4734741  7.05686879 0.0723148 ],-0.7603843426809789,prey,1,21
6,8.038371801376343,[-5.28447721  8.53940543  0.07003056],-0.7356313018036609,prey,1,38
7,8.038371801376343,[8.09523571 6.54075397 0.0721015 ],-0.7491052968143883,prey,-1,31
8,8.038371801376343,[-5.62368895 -7.41343721  0.07011311],-0.7491102280200495,prey,1,29
9,8.038371801376343,[ 8.30971877 -1.79638324  0.07090615],-0.7276907707051246,prey,1,36
10,8.038371801376343,[-6.53357944  7.21802513  0.07019825],-0.9241947437924831,prey,-1,38
11,8.038371801376343,[-6.56009623  6.75504296  0.07185122],-0.9779190540375935,prey,1,24
12,8.038371801376343,[ 4.63541819 -7.98891957  0.06966591],-0.7425554563576702,prey,1,23
13,8.038371801376343,[8.46792782 7.79878015 0.0711084 ],-0.767433093964212,prey,-1,31
14,8.038371801376343,[6.73299611 6.62324418 0.06941741],-0.7685543477863033,prey,-1,31
